,address,eth_balance
21073,0xe25fffd02e7a2bd5c7652d2df2043263f1c8ef86,259.097493121298606333
21193,0x9a60533784bca06c2bb73fe57c8ef21f1ea19070,257
21367,0x86e17264cc001de77cf055db87ef7ec278d59028,254.49692755
21450,0xede4cba1262695884b44d2461aa718c6ca6cc8ef,252.8912688
21496,0xad21b26a2d0e0206ad15913e3d64fb8f2f767fbb,252
21626,0x83c9df513f2ab39b14a9dd79848cf2d3d00fb670,250.720459415
21627,0x0f99cfee07ea17297f84a6f3e2c950a8e9d8fd9c,250.711377448714217628
21684,0xf31d6d05e5070911cc2aa051e4376ecc6b90d61e,250.1522971
21746,0x96472b6ea650a0ca61b2da45b859a4af96f95a61,250.01
21868,0xb31ad6d4a949ee3763553a72182e9d25dbb00cc1,249.996295344
22124,0x12fdda0fdc960eeadf164c1183a8b16dab3b8034,246.16062523247
22259,0x627e7cb6f4bd3559c5bc1883bfa4d49d1a447d57,243.995
22560,0xa1fe28530e43a88eee7e06785e1a2cdc548b2e3a,239.956725163777777777
22614,0xec62d25f4a1cd33cc9776afc8980cb72d3aac87f,238.962524
22791,0x5fc2ac23d28c94d570cfb00813d2ab8882b4fb54,236.195146857395130258
23100,0x34ca1ed363cd29b86ec128d52bed819f634efc87,231.7256
23124,0xcdacd6737aa22296fe2f38cb80c1435dbd6aa4fd,231.42584308
23174,0x995dbc0fbf5d77d92d1995898991469d1ef81d26,231
23324,0xae6fe1de9b187798698eb469c34a7637b2a346bf,229.34993882426828948
23441,0xf85c64efd8ebd212278197b876261dcfdc4068c0,227.487693945149166797
23550,0x79a075f866a3392cd96f036842936540fd55ee39,225.8694115339061
23620,0x7bf67f25fd8aa695f7c642f08c0bdb0b1c08b034,225.09525995
23665,0x6d4893363c3176de3626f91ed877e6d9b83b4633,224.84836657395943158
23733,0x721ddc2c7b07e2722643bccf2865ae31c3a323e6,223.972349427777777777
23790,0x74706e8599e03cfadb6a6c41aeab49cd98264292,223.273088804920507
23893,0x313d1e2a017a52ec94657a733e1016df0e4996a6,221.914902445889842643
24191,0xaabc91b9419d311b1574e485c77077ae154992a4,218.110381964940809358
24472,0xfbe5ca06a32934ae7aa82efd98b4509819c2d1ea,213.960029717837959213
24510,0x43fb82e5ebd47b83e66d9d87ac7c6be2e854a160,213.4
24521,0xb0c31df7c144b7aa4b50809aa1b8400782882c1e,213.274182096817024147
24539,0xfdd083a262c8f56c5ee9ae78bc740a4079a69e1f,213.055
24615,0xf58660f17834785ad682f77d2f5678866733a204,212.072312965766033546
24751,0x7f352c860a85407150cdae15983aa8c2a34f45d7,210.3225466676735732
24760,0x706fc368138d50a1ff22df54eee355f03dd9a661,210.24970035416
24914,0x825e39a461fcdc87ad0d68aee83c2bc6a057898e,208.74934379
25159,0x5d3652c7ae403ea3126e092ead075f3e6abab571,206.128222041777777777
25271,0x9930c665765d724c2c59410bd031c08664be242e,204.9974841960498291
25535,0x02e6d9c11f61e0f0fcaf177c8136e2c5b39dfd95,202.115267470063945267
25575,0x6f7f097cc789c5e2fa3fbfd941387d918b86a9b8,201.971481785739393878
25608,0x21d23cb291f3b41281f79f0fe053cbf3af629ae9,201.710914824107663
25853,0x7bd0d12bf3b54d7987d90a592b46c70fb6d7e0e4,200.697547267
